Day,lotType,lotSpaces,lotVacancy,lotOccupied,percentCapacity
81,lot6,-1,-1,-1.0,-1.0
82,lot2_general,1219,945,274.0,0.2247744052502051
82,lot2_premium,324,291,33.0,0.10185185185185185
82,lot3,1192,910,282.0,0.23657718120805368
82,lot4_general,1430,819,611.0,0.42727272727272725
82,lot4_premium,352,170,182.0,0.5170454545454546
82,lot5,2200,2200,0.0,0.0
82,lot6,-1,-1,-1.0,-1.0
83,lot2_general,1219,925,294.0,0.24118129614438064
83,lot2_premium,324,291,33.0,0.10185185185185185
83,lot3,1192,855,337.0,0.2827181208053691
83,lot4_general,1430,791,639.0,0.44685314685314687
83,lot4_premium,352,166,186.0,0.5284090909090909
83,lot5,2200,2200,0.0,0.0
83,lot6,-1,-1,-1.0,-1.0
84,lot2_general,1219,983,236.0,0.19360131255127153
84,lot2_premium,324,301,23.0,0.07098765432098765
84,lot3,1192,954,238.0,0.19966442953020133
84,lot4_general,1430,922,508.0,0.35524475524475524
84,lot4_premium,352,226,126.0,0.35795454545454547
84,lot5,2200,2200,0.0,0.0
84,lot6,-1,-1,-1.0,-1.0
85,lot2_general,1219,1008,211.0,0.17309269893355209
85,lot2_premium,324,300,24.0,0.07407407407407407
85,lot3,1192,971,221.0,0.18540268456375839
85,lot4_general,1430,976,454.0,0.3174825174825175
85,lot4_premium,352,211,141.0,0.4005681818181818
85,lot5,2200,2200,0.0,0.0
85,lot6,-1,-1,-1.0,-1.0
86,lot2_general,1219,1032,187.0,0.15340442986054142
86,lot2_premium,324,299,25.0,0.07716049382716049
86,lot3,1192,995,197.0,0.16526845637583892
86,lot4_general,1430,837,593.0,0.41468531468531467
86,lot4_premium,352,198,154.0,0.4375
