Date,Day,Lot,% Capacity,Occupied,Spaces
2021-07-08,Thursday,LOT 2 Premium,25.0,81.0,324
2021-07-08,Thursday,LOT 2 Value,0.0,0.0,0
2021-07-08,Thursday,LOT 3,54.61409395973155,651.0,1192
2021-07-08,Thursday,LOT 4 General,53.56643356643357,766.0,1430
2021-07-08,Thursday,LOT 4 Premium,79.54545454545455,280.0,352
2021-07-08,Thursday,LOT 5,68.45454545454545,1506.0,2200
2021-07-08,Thursday,LOT 5 Value,0.0,0.0,0
2021-07-08,Thursday,LOT 6,-100.0,-1.0,-1
2021-07-09,Friday,LOT 2 General,41.01722723543888,500.0,1219
2021-07-09,Friday,LOT 2 Premium,28.08641975308642,91.0,324
2021-07-09,Friday,LOT 2 Value,0.0,0.0,0
2021-07-09,Friday,LOT 3,60.90604026845637,726.0,1192
2021-07-09,Friday,LOT 4 General,59.72027972027972,854.0,1430
2021-07-09,Friday,LOT 4 Premium,62.5,220.0,352
2021-07-09,Friday,LOT 5,51.40909090909091,1131.0,2200
2021-07-09,Friday,LOT 5 Value,0.0,0.0,0
2021-07-09,Friday,LOT 6,-100.0,-1.0,-1
2021-07-10,Saturday,LOT 2 General,50.28712059064807,613.0,1219
2021-07-10,Saturday,LOT 2 Premium,26.543209876543212,86.0,324
2021-07-10,Saturday,LOT 2 Value,0.0,0.0,0
2021-07-10,Saturday,LOT 3,61.241610738255034,730.0,1192
2021-07-10,Saturday,LOT 4 General,56.92307692307692,814.0,1430
2021-07-10,Saturday,LOT 4 Premium,65.625,231.0,352
2021-07-10,Saturday,LOT 5,52.45454545454545,1154.0,2200
2021-07-10,Saturday,LOT 5 Value,0.0,0.0,0
2021-07-10,Saturday,LOT 6,-100.0,-1.0,-1
2021-07-11,Sunday,LOT 2 General,50.86136177194421,620.0,1219
2021-07-11,Sunday,LOT 2 Premium,25.92592592592592,84.0,324
2021-07-11,Sunday,LOT 2 Value,0.0,0.0,0
2021-07-11,Sunday,LOT 3,70.46979865771812,840.0,1192
2021-07-11,Sunday,LOT 4 General,47.55244755244755,680.0,1430
2021-07-11,Sunday,LOT 4 Premium,82.67045454545455,291.0,352
2021-07-11,Sunday,LOT 5,47.63636363636364,1048.0,2200
2021-07-11,Sunday,LOT 5 Value,0.0,0.0,0
2021-07-11,Sunday,LOT 6,-100.0,-1.0,-1
2021-07-12,Monday,LOT 2 General,43.150123051681696,526.0,1219
2021-07-12,Monday,LOT 2 Premium,18.82716049382716,61.0,324
2021-07-12,Monday,LOT 2 Value,0.0,0.0,0
2021-07-12,Monday,LOT 3,75.33557046979867,898.0,1192
2021-07-12,Monday,LOT 4 General,69.02097902097903,987.0,1430
2021-07-12,Monday,LOT 4 Premium,74.14772727272727,261.0,352
2021-07-12,Monday,LOT 5,42.45454545454545,934.0,2200
2021-07-12,Monday,LOT 5 Value,0.0,0.0,0
2021-07-12,Monday,LOT 6,-100.0,-1.0,-1
2021-07-13,Tuesday,LOT 2 General,46.02132895816243,561.0,1219
2021-07-13,Tuesday,LOT 2 Premium,33.95061728395062,110.0,324
2021-07-13,Tuesday,LOT 2 Value,0.0,0.0,0
2021-07-13,Tuesday,LOT 3,54.0268456375839,644.0,1192
2021-07-13,Tuesday,LOT 4 General,53.00699300699301,758.0,1430
2021-07-13,Tuesday,LOT 4 Premium,76.42045454545455,269.0,352
2021-07-13,Tuesday,LOT 5,47.9090909090909,1054.0,2200
2021-07-13,Tuesday,LOT 5 Value,0.0,0.0,0
2021-07-13,Tuesday,LOT 6,-100.0,-1.0,-1
2021-07-14,Wednesday,LOT 2 General,46.75963904840032,570.0,1219
2021-07-14,Wednesday,LOT 2 Premium,40.123456790123456,130.0,324
2021-07-14,Wednesday,LOT 2 Value,0.0,0.0,0
2021-07-14,Wednesday,LOT 3,62.751677852349,748.0,1192
2021-07-14,Wednesday,LOT 4 General,61.88811188811189,885.0,1430
2021-07-14,Wednesday,LOT 4 Premium,76.13636363636364,268.0,352
2021-07-14,Wednesday,LOT 5,50.727272727272734,1116.0,2200
2021-07-14,Wednesday,LOT 5 Value,0.0,0.0,0
2021-07-14,Wednesday,LOT 6,-100.0,-1.0,-1
2021-07-15,Thursday,LOT 2 General,48.72846595570139,594.0,1219
2021-07-15,Thursday,LOT 2 Premium,21.60493827160493,70.0,324
2021-07-15,Thursday,LOT 2 Value,0.0,0.0,0
2021-07-15,Thursday,LOT 3,59.47986577181208,709.0,1192
2021-07-15,Thursday,LOT 4 General,58.32167832167832,834.0,1430
2021-07-15,Thursday,LOT 4 Premium,78.125,275.0,352
2021-07-15,Thursday,LOT 5,54.04545454545454,1189.0,2200
2021-07-15,Thursday,LOT 5 Value,0.0,0.0,0
2021-07-15,Thursday,LOT 6,-100.0,-1.0,-1
2021-07-16,Friday,LOT 2 General,51.107465135356854,623.0,1219
2021-07-16,Friday,LOT 2 Premium,24.07407407407407,78.0,324
2021-07-16,Friday,LOT 2 Value,0.0,0.0,0
2021-07-16,Friday,LOT 3,54.9496644295302,655.0,1192
2021-07-16,Friday,LOT 4 General,53.84615384615385,770.0,1430
2021-07-16,Friday,LOT 4 Premium,88.92045454545455,313.0,352
2021-07-16,Friday,LOT 5,56.59090909090909,1245.0,2200
2021-07-16,Friday,LOT 5 Value,0.0,0.0,0
2021-07-16,Friday,LOT 6,-100.0,-1.0,-1
2021-07-17,Saturday,LOT 2 General,60.21328958162429,734.0,1219
2021-07-17,Saturday,LOT 2 Premium,25.92592592592592,84.0,324
2021-07-17,Saturday,LOT 2 Value,0.0,0.0,0
2021-07-17,Saturday,LOT 3,47.98657718120805,572.0,1192
2021-07-17,Saturday,LOT 4 General,47.06293706293706,673.0,1430
2021-07-17,Saturday,LOT 4 Premium,83.80681818181817,295.0,352
2021-07-17,Saturday,LOT 5,58.54545454545455,1288.0,2200
2021-07-17,Saturday,LOT 5 Value,0.0,0.0,0
2021-07-17,Saturday,LOT 6,-100.0,-1.0,-1
2021-07-18,Sunday,LOT 2 General,61.771944216570965,753.0,1219
2021-07-18,Sunday,LOT 2 Premium,27.46913580246913,89.0,324
2021-07-18,Sunday,LOT 2 Value,0.0,0.0,0
2021-07-18,Sunday,LOT 3,42.78523489932886,510.0,1192
